h_a,minutes_since_last_goal_before_match,reliability_score,delay_score,time_last_3_matches,goals_last_3_matches,xG_last_3_matches,total_team_matches_before_match,team_pts_before_match,total_team_goals_scored_before_match,total_team_xg_before_match,total_opponent_matches_before_match,opponent_pts_before_match,total_opponent_goals_conceded_before_match,total_opponent_xga_before_match,opponent_clean_sheet_rate_before_match,scored,starting,league_Bundesliga,league_EPL,league_La_Liga,league_Ligue_1,league_Serie_A,ratio_min_goals_last_3_matches,ratio_min_xg_last_3_matches,ratio_pts_match,ratio_pts_match_opponent,ratio_goals_scored,ratio_xG,ratio_goals_conceded_opponent,ratio_xga_opponent
1,200.0,0.7174362677871489,0.7944269917168613,246.0,1.0,0.7774204313755035,32,70,64,69.588557,32,47,34,42.2404864,0.375,1,1,0.0,0.0,1.0,0.0,0.0,246.0,316.4310970895734,2.1875,1.46875,2.0,2.17464240625,1.0625,1.3200152
0,0.0,0.7174362677871489,-1.0434974406556141,246.0,3.0,1.1921687722206116,33,73,68,72.184917,33,71,40,51.800109,0.3333333333333333,1,1,0.0,0.0,1.0,0.0,0.0,82.0,206.3466228374564,2.212121212121212,2.1515151515151514,2.0606060606060606,2.1874217272727274,1.2121212121212122,1.5697002727272726
1,39.0,0.7174362677871489,-0.6851021763429814,245.0,4.0,1.5142561197280884,34,73,70,74.790217,34,54,35,41.049726,0.38235294117647056,0,1,0.0,0.0,1.0,0.0,0.0,61.25,161.795614895051,2.1470588235294117,1.588235294117647,2.0588235294117645,2.1997122647058824,1.0294117647058822,1.2073448823529411
0,116.0,0.7174362677871489,0.022498730120421574,251.0,4.0,1.4280769769102335,35,76,72,76.450507,35,17,70,66.769185,0.17142857142857143,0,1,0.0,0.0,1.0,0.0,0.0,62.75,175.7608336653252,2.1714285714285713,0.4857142857142857,2.057142857142857,2.1843002,2.0,1.9076909999999998
1,186.0,0.7174362677871489,0.6657722814507879,231.0,1.0,0.9605288747698069,36,79,74,78.581727,36,38,44,43.366735,0.3611111111111111,1,1,0.0,0.0,1.0,0.0,0.0,231.0,240.49250997827602,2.1944444444444446,1.0555555555555556,2.0555555555555554,2.18282575,1.2222222222222223,1.2046315277777777
0,78.0,0.7174362677871489,-0.32670691203034874,227.0,1.0,0.8110977653414011,37,82,77,80.281317,37,41,52,61.5088846,0.21621621621621623,1,1,0.0,0.0,1.0,0.0,0.0,227.0,279.8676185532984,2.2162162162162162,1.1081081081081081,2.081081081081081,2.1697653243243242,1.4054054054054055,1.6624022864864865
0,51.0,0.7174362677871489,-0.5748267104006329,215.0,2.0,1.2553955912590027,0,0,0,0.0,0,0,0,0.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0,107.5,171.26075756278723,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,0.7174362677871489,-0.6759125541811191,235.0,4.0,2.941021114587784,1,3,2,3.48824,1,1,1,0.537517,0.0,1,1,0.0,0.0,1.0,0.0,0.0,58.75,79.90422062404602,3.0,1.0,2.0,3.48824,1.0,0.537517
0,16.0,0.7174362677871489,-0.8964634860658162,245.0,4.0,4.117546051740646,2,6,4,5.9040099999999995,2,4,1,2.0788029999999997,0.5,0,1,0.0,0.0,1.0,0.0,0.0,61.25,59.50145958815178,3.0,2.0,2.0,2.9520049999999998,0.5,1.0394014999999999
1,106.0,0.7174362677871489,-0.0693974914982022,270.0,3.0,3.715331420302391,3,9,6,7.42273,3,4,3,2.8797029999999997,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,0.0,90.0,72.67184793383107,3.0,1.3333333333333333,2.0,2.4742433333333334,1.0,0.9599009999999999
